adresse_complete;cp_ville
178 R DES RENOUILLIERS;92701 COLOMBES CEDEX
25 R JEAN-PIERRE TIMBAUD;92320 CHATILLON
10 R VAUGELAS;75015 PARIS
63 R DE LA ROQUETTE;75011 PARIS
45 R REBEVAL;75019 PARIS
3 R LESPAGNOL;75020 PARIS
1 R PABLO PICASSO;94600 CHOISY LE ROI
RTE DE LONGCHENE;78830 BULLION
18 R DE LA RÉPUBLIQUE;91150 ETAMPES
16 SQ D'AQUITAINE;95100 ARGENTEUIL
12B R GRANDE RUE CH. DE GAULLE;92600 ASNIERES SUR SEINE
45 AV GABRIEL PERI;92260 FONTENAY AUX ROSES
67 RTE DE CORBEIL;91160 LONGJUMEAU
58 R GEORGES BOISSEAU;92110 CLICHY
1 PL DOCTEUR JEAN TARRIUS;93806 EPINAY SUR SEINE CEDEX
15 R DES TOURNELLES;94240 L HAY LES ROSES
155 BD VINCENT AURIOL;75013 PARIS
24 AV DE STALINGRAD;93240 STAINS
4 AV TOUR JEAN JAURES;94600 CHOISY LE ROI
125 R DE STALINGRAD;93009 BOBIGNY CEDEX
47 R DE CROSNE;94195 VILLENEUVE S GEORGES CEDEX
2 R DU PARC;94460 VALENTON
1 ALL JULES VERDRINE;93390 CLICHY SOUS BOIS
AV MENDES FRANCE;77550 MOISSY CRAMAYEL
222 BD DU MARECHAL JUIN;78200 MANTES LA JOLIE
33 BD THIERS;78250 MEULAN
50 R DE PARIS;95220 HERBLAY
2 R DE ZURICH;92500 RUEIL MALMAISON
4 PL DU GENERAL LECLERC;91400 ORSAY
20 R LEBLANC;75908 PARIS CEDEX 15
152 AV DE WAGRAM;75017 PARIS
58 R GEORGES BOISSEAU;92110 CLICHY
3 BD DE LATTRE DE TASSIGNY;95200 SARCELLES
4 R CADRAN;94220 CHARENTON LE PONT
56 BD DE LA BOISSIERE;93100 MONTREUIL
21 PL NEUBURGER;93140 BONDY
4 PL DE LA CHENAIE;94470 BOISSY ST LEGER
6 R TAINTURIER;93220 GAGNY
54 BD ARISTIDE BRIAND;77007 MELUN CEDEX
2 PAS ROCHE;78000 VERSAILLES
165 R DE PARIS;95680 MONTLIGNON
48 R D'ENGHIEN;93800 EPINAY SUR SEINE
7 R PAUL LANGEVIN;91700 STE GENEVIEVE DES BOIS
39 R FESSART;75019 PARIS
R DU CLOS BERNARD;93300 AUBERVILLIERS
2 R DU CHEMIN DE FER;91000 EVRY
3 R MARCEL DEBOFF;93150 LE BLANC MESNIL
15 BD HENRI DUNANT;91106 CORBEIL ESSONNES CEDEX
11 AV DE LA REPUBLIQUE;93604 AULNAY SOUS BOIS CEDEX
28 R DE L'EGLISE;93420 VILLEPINTE
LD FORCILLES;77150 FEROLLES ATTILLY
1 R DE BEAUREGARD;77140 NEMOURS
